A_LOAD,A_LOAD_STATUS,A_OCCUPANCY,A_DISTANCE,A_WAITING_TIME,B_LOAD,B_LOAD_STATUS,B_OCCUPANCY,B_DISTANCE,B_WAITING_TIME,C_LOAD,C_LOAD_STATUS,C_OCCUPANCY,C_DISTANCE,C_WAITING_TIME,GRID_HEADROOM,GRID_STATUS,BATTERY,RECOMMENDED
46,GREEN,1,5.6,12.2,28,GREEN,2,7.1,19.7,50,GREEN,0,2.8,6.7,50.4,GREEN,29,C
78,YELLOW,0,3.4,8.8,42,GREEN,0,0.6,2.7,21,GREEN,1,5.2,9.5,43.6,GREEN,48,B
41,GREEN,2,1.7,21.2,54,GREEN,0,7.8,3.5,74,YELLOW,2,5.5,22.5,32.4,GREEN,24,B
83,YELLOW,3,5.4,30.5,92,RED,1,4.0,16.2,33,GREEN,0,2.7,3.3,16.8,YELLOW,20,C
21,GREEN,1,0.9,9.6,39,GREEN,1,9.3,13.3,90,RED,3,2.6,32.0,40.0,GREEN,55,A
54,GREEN,0,5.9,3.9,26,GREEN,1,2.6,10.7,25,GREEN,3,1.2,26.4,58.0,GREEN,51,A
59,GREEN,2,1.3,21.7,67,YELLOW,1,3.3,15.8,51,GREEN,3,4.0,31.0,29.2,YELLOW,40,A
89,RED,1,1.9,18.6,23,GREEN,1,5.6,10.8,21,GREEN,2,0.5,18.7,46.8,GREEN,54,B
33,GREEN,1,5.5,10.3,82,YELLOW,0,9.7,6.8,55,GREEN,0,0.9,4.4,32.0,GREEN,67,C
67,YELLOW,3,9.8,29.0,32,GREEN,1,6.6,10.8,95,RED,0,4.6,11.4,22.4,YELLOW,45,B
57,GREEN,2,8.6,23.4,70,YELLOW,2,3.5,22.1,29,GREEN,1,1.8,12.0,37.6,GREEN,28,C
39,GREEN,0,2.1,3.8,72,YELLOW,0,5.6,9.1,46,GREEN,3,3.4,27.7,37.2,GREEN,30,A
31,GREEN,1,8.2,10.3,25,GREEN,1,8.4,9.8,31,GREEN,1,9.7,10.7,65.2,GREEN,21,B
58,GREEN,2,8.3,20.5,71,YELLOW,3,5.8,31.3,32,GREEN,3,1.5,28.4,35.6,GREEN,30,A
21,GREEN,0,8.4,4.0,36,GREEN,1,8.3,11.1,30,GREEN,2,9.2,17.3,65.2,GREEN,23,A
45,GREEN,3,8.2,26.9,62,YELLOW,0,0.9,6.0,41,GREEN,3,8.3,27.7,40.8,GREEN,18,B
68,YELLOW,3,2.1,29.7,43,GREEN,2,3.2,21.8,24,GREEN,1,6.6,10.4,46.0,GREEN,76,C
27,GREEN,0,3.2,1.2,45,GREEN,1,6.5,13.7,22,GREEN,3,7.9,25.6,62.4,GREEN,77,A
64,YELLOW,2,4.2,21.1,60,GREEN,1,0.8,15.2,55,GREEN,0,8.2,5.4,28.4,YELLOW,60,C
94,RED,1,9.8,15.8,50,GREEN,2,5.6,22.2,27,GREEN,1,6.0,12.6,31.6,GREEN,64,C
65,YELLOW,1,2.2,14.9,65,YELLOW,0,7.2,5.9,92,RED,1,5.8,16.0,11.2,RED,78,B
89,RED,2,2.2,23.1,27,GREEN,1,6.2,8.8,81,YELLOW,0,3.7,8.6,21.2,YELLOW,31,C
63,YELLOW,1,9.2,15.7,61,YELLOW,0,0.7,6.4,38,GREEN,0,8.5,5.2,35.2,GREEN,24,C
67,YELLOW,3,6.1,30.0,61,YELLOW,1,9.8,15.0,75,YELLOW,3,6.7,30.2,18.8,YELLOW,60,B
48,GREEN,1,4.1,13.7,57,GREEN,1,2.2,11.7,93,RED,3,8.6,34.4,20.8,YELLOW,19,A
43,GREEN,2,9.2,22.2,48,GREEN,0,9.4,3.4,29,GREEN,1,3.8,10.2,52.0,GREEN,26,B
62,YELLOW,3,0.6,29.0,28,GREEN,2,2.9,17.2,20,GREEN,0,4.2,2.9,56.0,GREEN,36,C
72,YELLOW,3,8.9,30.6,68,YELLOW,0,8.4,8.0,93,RED,1,2.0,15.6,6.8,RED,19,B
57,GREEN,0,3.5,7.5,29,GREEN,2,2.1,18.4,29,GREEN,0,3.7,4.8,54.0,GREEN,76,C
23,GREEN,3,9.5,25.0,75,YELLOW,1,1.0,14.8,44,GREEN,3,7.1,29.3,43.2,GREEN,48,B
56,GREEN,2,2.8,19.8,93,RED,3,2.0,32.7,74,YELLOW,0,3.3,8.0,10.8,RED,76,C
45,GREEN,0,0.7,3.2,57,GREEN,0,5.0,4.2,70,YELLOW,3,5.1,31.6,31.2,GREEN,26,A
89,RED,3,2.3,34.4,67,YELLOW,1,4.7,13.8,79,YELLOW,2,2.6,23.0,6.0,RED,22,B
39,GREEN,0,1.3,3.3,89,RED,3,9.7,33.3,90,RED,0,8.5,10.3,12.8,RED,68,A
88,RED,3,5.9,31.7,58,GREEN,0,4.3,7.2,24,GREEN,1,1.6,11.4,32.0,GREEN,37,B
41,GREEN,1,8.2,10.6,74,YELLOW,0,9.9,7.1,38,GREEN,2,3.5,20.7,38.8,GREEN,23,B
31,GREEN,3,5.8,27.3,55,GREEN,3,9.2,27.5,95,RED,3,1.6,32.1,27.6,YELLOW,27,AVOID
33,GREEN,0,8.0,4.8,64,YELLOW,3,3.0,31.0,93,RED,3,0.9,32.4,24.0,YELLOW,33,A
71,YELLOW,0,4.3,8.6,50,GREEN,0,7.6,6.7,67,YELLOW,0,3.7,7.9,24.8,YELLOW,54,B
55,GREEN,3,8.7,30.2,49,GREEN,1,3.4,13.9,61,YELLOW,2,7.4,22.5,34.0,GREEN,26,B
44,GREEN,3,2.5,29.7,82,YELLOW,2,8.3,24.3,40,GREEN,0,3.5,4.0,33.6,GREEN,32,C
87,RED,0,2.2,10.2,45,GREEN,0,2.9,4.3,66,YELLOW,1,3.1,15.9,20.8,YELLOW,79,B
70,YELLOW,0,7.0,6.0,82,YELLOW,3,2.2,33.7,95,RED,2,3.8,26.9,1.2,RED,48,AVOID
31,GREEN,2,0.8,17.3,93,RED,1,8.6,17.9,46,GREEN,2,6.7,20.7,32.0,GREEN,16,A
80,YELLOW,1,6.7,16.4,21,GREEN,1,2.9,11.3,59,GREEN,2,4.5,21.4,36.0,GREEN,59,B
78,YELLOW,2,2.6,23.0,86,RED,3,6.1,30.6,67,YELLOW,2,3.3,21.1,7.6,RED,23,C
63,YELLOW,2,6.6,23.7,53,GREEN,2,2.3,21.4,50,GREEN,0,8.2,6.2,33.6,GREEN,66,C
60,GREEN,1,7.4,14.6,57,GREEN,2,9.1,21.3,24,GREEN,1,3.8,11.3,43.6,GREEN,75,C
65,YELLOW,2,8.5,23.9,91,RED,1,3.3,17.0,53,GREEN,1,9.5,14.9,16.4,YELLOW,26,C
48,GREEN,2,2.6,22.3,73,YELLOW,2,4.0,23.6,79,YELLOW,0,5.0,9.4,20.0,YELLOW,24,C
80,YELLOW,1,5.3,17.5,68,YELLOW,2,4.4,24.3,39,GREEN,1,9.9,11.3,25.2,YELLOW,73,C
38,GREEN,2,8.7,18.5,30,GREEN,3,3.7,28.9,60,GREEN,0,0.5,5.1,48.8,GREEN,36,C
93,RED,1,5.2,18.4,31,GREEN,1,6.3,11.6,71,YELLOW,3,9.7,30.6,22.0,YELLOW,19,B
88,RED,1,7.4,18.6,61,YELLOW,1,0.7,12.1,51,GREEN,1,7.1,12.5,20.0,YELLOW,31,C
33,GREEN,3,5.3,26.5,28,GREEN,0,3.3,2.0,86,RED,2,4.6,25.3,41.2,GREEN,32,B
63,YELLOW,3,3.9,29.1,71,YELLOW,0,2.7,8.0,36,GREEN,1,7.5,12.0,32.0,GREEN,36,B
35,GREEN,2,7.3,20.7,68,YELLOW,2,7.8,23.3,26,GREEN,0,6.7,0.7,48.4,GREEN,29,C
73,YELLOW,3,4.1,31.5,80,YELLOW,1,2.5,16.7,21,GREEN,2,4.5,16.5,30.4,GREEN,49,C
37,GREEN,3,8.4,26.1,35,GREEN,2,1.6,17.9,45,GREEN,1,7.9,13.8,53.2,GREEN,40,B
65,YELLOW,3,3.3,28.7,83,YELLOW,1,7.0,16.2,50,GREEN,0,0.6,3.4,20.8,YELLOW,29,C
93,RED,3,1.9,31.7,85,YELLOW,0,7.4,6.9,52,GREEN,1,4.8,15.1,8.0,RED,48,B
79,YELLOW,0,1.4,6.6,25,GREEN,2,3.9,19.2,74,YELLOW,0,1.4,8.4,28.8,YELLOW,20,C
21,GREEN,1,6.8,8.8,65,YELLOW,3,9.6,29.6,31,GREEN,2,8.2,17.8,53.2,GREEN,66,A
71,YELLOW,3,3.1,30.6,81,YELLOW,3,6.7,33.3,34,GREEN,1,7.1,9.6,25.6,YELLOW,35,C
33,GREEN,3,9.2,27.2,92,RED,3,2.2,32.7,65,YELLOW,0,8.7,8.0,24.0,YELLOW,31,C
81,YELLOW,3,1.6,31.7,25,GREEN,0,3.0,1.8,87,RED,1,9.8,17.4,22.8,YELLOW,58,B
86,RED,0,4.6,9.5,81,YELLOW,2,6.8,24.7,39,GREEN,0,0.6,5.6,17.6,YELLOW,79,C
80,YELLOW,3,8.8,30.3,82,YELLOW,2,2.8,26.1,26,GREEN,1,5.7,10.1,24.8,YELLOW,45,C
30,GREEN,3,4.7,27.3,31,GREEN,3,4.7,25.6,83,YELLOW,0,1.5,7.9,42.4,GREEN,15,C
31,GREEN,2,9.0,19.3,78,YELLOW,2,4.0,22.0,48,GREEN,3,3.7,29.9,37.2,GREEN,75,A
66,YELLOW,3,1.6,31.6,48,GREEN,0,3.7,6.1,57,GREEN,2,7.2,19.9,31.6,GREEN,36,B
83,YELLOW,1,8.3,17.3,72,YELLOW,0,2.9,6.0,35,GREEN,3,2.5,28.8,24.0,YELLOW,39,B
62,YELLOW,0,7.7,4.5,93,RED,0,7.8,9.3,93,RED,1,9.7,15.5,0.0,RED,21,AVOID
90,RED,3,8.5,32.9,85,YELLOW,1,7.1,15.2,36,GREEN,0,4.2,4.0,15.6,YELLOW,56,C
84,YELLOW,3,4.5,32.8,51,GREEN,2,4.3,20.5,57,GREEN,3,8.1,28.3,23.2,YELLOW,80,B
58,GREEN,2,7.3,23.5,47,GREEN,1,2.5,13.6,64,YELLOW,1,9.8,15.0,32.4,GREEN,37,B
84,YELLOW,2,7.2,25.4,91,RED,3,6.0,34.9,73,YELLOW,2,8.8,23.0,0.8,RED,16,AVOID
86,RED,0,0.7,7.2,27,GREEN,1,3.0,11.8,56,GREEN,2,1.9,19.8,32.4,GREEN,52,A
46,GREEN,0,3.9,4.4,91,RED,1,7.6,17.3,50,GREEN,2,7.1,19.2,25.2,YELLOW,63,A
69,YELLOW,3,9.6,32.8,60,GREEN,0,0.6,5.0,76,YELLOW,1,9.2,16.4,18.0,YELLOW,62,B
95,RED,1,7.9,19.4,57,GREEN,3,2.2,30.4,43,GREEN,1,7.5,10.8,22.0,YELLOW,20,C
74,YELLOW,2,5.8,21.9,94,RED,2,0.6,25.3,39,GREEN,0,2.0,3.2,17.2,YELLOW,21,C
58,GREEN,3,8.0,30.0,29,GREEN,2,5.5,20.7,86,RED,0,8.0,7.2,30.8,GREEN,66,C
31,GREEN,2,2.6,18.0,62,YELLOW,2,3.9,21.1,87,RED,3,10.0,34.0,28.0,YELLOW,16,A
34,GREEN,2,4.7,21.0,51,GREEN,0,7.0,4.4,34,GREEN,3,2.9,28.3,52.4,GREEN,18,B
86,RED,2,5.4,24.6,82,YELLOW,0,3.3,8.8,61,YELLOW,0,9.5,4.8,8.4,RED,15,C
28,GREEN,1,6.9,11.9,74,YELLOW,0,2.5,8.7,75,YELLOW,0,7.6,6.1,29.2,YELLOW,73,B
62,YELLOW,0,1.3,4.4,52,GREEN,0,6.0,4.1,53,GREEN,3,4.2,29.8,33.2,GREEN,70,B
60,GREEN,0,4.2,4.5,20,GREEN,0,7.7,2.3,29,GREEN,2,9.3,17.3,56.4,GREEN,53,B
31,GREEN,2,7.8,18.9,70,YELLOW,0,5.0,7.1,37,GREEN,3,8.1,29.1,44.8,GREEN,52,B
38,GREEN,2,6.9,21.5,67,YELLOW,0,5.8,6.9,35,GREEN,0,0.5,3.9,44.0,GREEN,25,C
59,GREEN,1,7.6,15.5,64,YELLOW,1,4.4,15.0,85,YELLOW,1,2.0,15.4,16.8,YELLOW,47,A
44,GREEN,0,2.2,5.6,26,GREEN,3,6.6,24.9,28,GREEN,2,1.4,19.7,60.8,GREEN,77,A
62,YELLOW,2,1.7,22.8,32,GREEN,2,6.4,20.8,60,GREEN,3,4.8,30.5,38.4,GREEN,54,B
94,RED,1,5.9,16.9,60,GREEN,3,2.1,29.3,48,GREEN,3,3.1,28.2,19.2,YELLOW,57,A
81,YELLOW,3,4.7,33.2,82,YELLOW,0,2.2,8.6,55,GREEN,1,9.0,12.3,12.8,RED,24,B
29,GREEN,0,8.6,3.4,94,RED,3,7.8,32.3,24,GREEN,2,5.7,20.4,41.2,GREEN,75,A
39,GREEN,2,4.2,21.5,95,RED,2,1.8,25.5,31,GREEN,3,4.0,25.1,34.0,GREEN,45,A
41,GREEN,1,4.7,10.8,92,RED,1,7.5,17.1,65,YELLOW,0,2.6,6.5,20.8,YELLOW,23,C
53,GREEN,2,2.7,22.0,86,RED,2,4.2,26.3,25,GREEN,0,9.8,1.8,34.4,GREEN,50,C
53,GREEN,1,4.1,12.8,95,RED,0,5.4,9.0,48,GREEN,3,3.9,30.3,21.6,YELLOW,77,A
81,YELLOW,0,5.3,6.7,41,GREEN,1,1.2,12.7,47,GREEN,1,2.3,12.1,32.4,GREEN,30,A
49,GREEN,3,8.2,29.8,81,YELLOW,3,5.1,32.5,72,YELLOW,0,2.8,5.7,19.2,YELLOW,35,C
37,GREEN,0,9.0,2.3,41,GREEN,2,9.3,20.2,71,YELLOW,0,8.8,8.0,40.4,GREEN,51,A
30,GREEN,1,4.8,13.0,81,YELLOW,1,2.6,15.7,38,GREEN,1,6.4,11.8,40.4,GREEN,36,A
63,YELLOW,3,6.2,28.6,68,YELLOW,3,1.8,28.9,86,RED,3,8.4,33.0,13.2,RED,37,AVOID
80,YELLOW,0,8.8,8.1,35,GREEN,0,5.1,2.0,89,RED,0,9.0,10.0,18.4,YELLOW,70,B
86,RED,3,4.0,30.8,87,RED,3,2.7,33.9,68,YELLOW,2,6.1,23.8,3.6,RED,27,AVOID
74,YELLOW,1,2.9,16.5,30,GREEN,2,6.2,19.2,52,GREEN,1,0.6,14.2,37.6,GREEN,15,B
93,RED,0,5.4,8.8,46,GREEN,2,4.4,19.0,74,YELLOW,2,3.0,23.5,14.8,RED,61,A
55,GREEN,3,7.7,29.2,91,RED,3,2.2,33.3,81,YELLOW,2,9.9,24.4,9.2,RED,65,C
37,GREEN,0,7.6,3.5,40,GREEN,0,2.5,3.6,63,YELLOW,0,2.0,8.2,44.0,GREEN,15,A
31,GREEN,1,5.0,11.5,31,GREEN,0,3.0,2.6,24,GREEN,3,9.3,26.0,65.6,GREEN,51,B
27,GREEN,1,6.6,10.5,45,GREEN,2,2.4,21.6,85,YELLOW,1,6.3,17.2,37.2,GREEN,61,A
50,GREEN,0,9.8,3.3,55,GREEN,3,3.9,29.1,95,RED,1,5.4,18.4,20.0,YELLOW,23,A
31,GREEN,2,7.4,19.3,94,RED,2,3.8,26.7,48,GREEN,1,4.8,12.4,30.8,GREEN,15,A
53,GREEN,1,4.4,11.7,29,GREEN,2,3.7,17.4,85,YELLOW,2,8.8,25.8,33.2,GREEN,47,B
76,YELLOW,3,5.9,32.7,63,YELLOW,3,7.0,31.9,23,GREEN,3,1.6,24.6,35.2,GREEN,43,AVOID
49,GREEN,2,4.4,20.3,88,RED,0,7.2,7.9,56,GREEN,0,4.3,6.6,22.8,YELLOW,58,C
29,GREEN,1,5.0,10.3,93,RED,2,2.2,26.3,44,GREEN,3,7.5,27.3,33.6,GREEN,45,A
53,GREEN,1,2.7,14.6,65,YELLOW,1,7.9,13.0,30,GREEN,3,6.3,28.1,40.8,GREEN,20,A
78,YELLOW,2,6.4,24.1,89,RED,2,5.2,27.2,82,YELLOW,2,4.3,25.5,0.0,RED,31,AVOID
26,GREEN,3,5.0,26.8,84,YELLOW,2,4.2,25.1,42,GREEN,3,9.8,29.0,39.2,GREEN,73,B
60,GREEN,0,0.6,4.8,94,RED,0,3.6,9.9,53,GREEN,1,5.7,12.2,17.2,YELLOW,75,A
63,YELLOW,2,2.2,22.0,73,YELLOW,2,4.0,22.9,77,YELLOW,1,5.9,17.6,14.8,RED,44,A
32,GREEN,2,8.1,19.4,68,YELLOW,1,1.9,16.6,39,GREEN,3,8.2,26.6,44.4,GREEN,78,A
37,GREEN,2,8.0,18.9,91,RED,0,4.3,9.9,27,GREEN,1,8.2,10.6,38.0,GREEN,27,B
77,YELLOW,2,3.0,23.1,91,RED,2,3.8,24.7,64,YELLOW,1,6.0,15.0,7.2,RED,37,C
56,GREEN,2,3.6,21.6,77,YELLOW,0,4.1,6.8,38,GREEN,1,6.6,13.5,31.6,GREEN,68,B
93,RED,3,8.6,31.6,40,GREEN,2,2.7,19.3,57,GREEN,2,6.3,21.3,24.0,YELLOW,71,B
66,YELLOW,3,4.4,29.3,22,GREEN,1,7.4,10.8,30,GREEN,1,2.1,9.4,52.8,GREEN,23,B
80,YELLOW,0,0.8,7.6,30,GREEN,0,3.0,1.6,69,YELLOW,2,2.7,23.9,28.4,YELLOW,71,B
36,GREEN,1,5.5,10.3,24,GREEN,2,8.7,17.7,80,YELLOW,3,9.8,32.2,44.0,GREEN,49,B
83,YELLOW,3,1.8,34.8,82,YELLOW,1,6.1,16.7,84,YELLOW,3,5.5,33.8,0.0,RED,54,AVOID
64,YELLOW,3,5.6,31.6,76,YELLOW,2,4.0,22.6,58,GREEN,0,0.5,7.1,20.8,YELLOW,32,C
64,YELLOW,2,5.0,20.4,82,YELLOW,3,3.3,33.3,57,GREEN,1,8.1,13.9,18.8,YELLOW,39,C
72,YELLOW,3,4.3,29.9,69,YELLOW,3,2.6,29.2,50,GREEN,2,3.2,22.0,23.6,YELLOW,49,C
72,YELLOW,1,8.6,13.9,57,GREEN,0,6.6,6.2,54,GREEN,3,2.3,27.5,26.8,YELLOW,21,B
88,RED,0,2.3,7.2,54,GREEN,1,7.3,14.3,49,GREEN,0,1.9,4.9,23.6,YELLOW,58,C
73,YELLOW,2,8.0,23.3,67,YELLOW,3,7.1,28.8,30,GREEN,1,1.0,12.1,32.0,GREEN,24,C
89,RED,3,2.2,34.5,52,GREEN,3,8.4,27.7,51,GREEN,3,7.8,28.9,23.2,YELLOW,19,AVOID
45,GREEN,3,7.5,26.9,46,GREEN,3,4.2,30.4,61,YELLOW,1,6.5,12.3,39.2,GREEN,30,C
52,GREEN,3,6.6,28.0,26,GREEN,1,9.7,9.5,75,YELLOW,2,0.6,24.7,38.8,GREEN,30,B
70,YELLOW,1,0.6,13.2,80,YELLOW,1,4.0,14.4,40,GREEN,3,1.4,28.5,24.0,YELLOW,22,A
27,GREEN,2,6.6,19.5,33,GREEN,1,5.1,10.6,91,RED,2,8.2,24.9,39.6,GREEN,39,B
22,GREEN,3,3.9,24.7,25,GREEN,3,7.2,26.7,89,RED,3,2.3,31.6,45.6,GREEN,59,AVOID
61,YELLOW,3,3.1,31.4,90,RED,1,1.2,15.6,57,GREEN,2,5.6,21.5,16.8,YELLOW,79,C
68,YELLOW,1,8.9,15.3,66,YELLOW,1,3.5,12.9,88,RED,3,2.3,33.5,11.2,RED,34,B
56,GREEN,2,4.4,20.9,32,GREEN,0,0.9,5.0,42,GREEN,0,2.4,4.1,48.0,GREEN,27,B
24,GREEN,3,6.8,26.5,95,RED,2,1.0,24.4,29,GREEN,0,9.3,1.7,40.8,GREEN,77,C
30,GREEN,3,8.1,25.2,91,RED,3,8.3,34.3,27,GREEN,2,5.5,19.6,40.8,GREEN,53,C
29,GREEN,1,9.6,9.3,49,GREEN,3,2.3,29.0,51,GREEN,1,5.8,13.3,48.4,GREEN,28,A
93,RED,2,6.9,26.1,74,YELLOW,0,2.1,6.1,71,YELLOW,2,6.7,23.2,4.8,RED,71,AVOID
65,YELLOW,2,5.7,24.5,67,YELLOW,3,7.8,30.4,61,YELLOW,1,5.8,13.0,22.8,YELLOW,47,C
66,YELLOW,3,4.8,30.2,24,GREEN,2,6.2,18.5,58,GREEN,0,3.4,4.7,40.8,GREEN,55,C
22,GREEN,2,9.2,18.2,93,RED,1,1.4,17.1,39,GREEN,1,3.0,13.5,38.4,GREEN,46,A
49,GREEN,2,8.2,19.3,71,YELLOW,1,7.5,16.0,81,YELLOW,1,5.1,17.7,19.6,YELLOW,27,A
58,GREEN,0,7.4,6.1,30,GREEN,0,9.3,2.3,75,YELLOW,3,9.3,30.0,34.8,GREEN,44,B
21,GREEN,3,1.0,26.2,60,GREEN,1,3.6,14.8,39,GREEN,0,6.9,5.9,52.0,GREEN,72,C
90,RED,0,2.6,8.5,68,YELLOW,1,1.8,13.3,90,RED,0,5.7,8.4,0.0,RED,66,AVOID
84,YELLOW,3,7.9,30.9,37,GREEN,3,5.8,27.7,93,RED,1,5.8,19.3,14.4,RED,46,C
51,GREEN,0,3.0,4.8,93,RED,0,1.6,9.0,66,YELLOW,2,2.3,22.0,16.0,YELLOW,18,A
59,GREEN,1,9.9,14.4,76,YELLOW,1,4.7,17.3,49,GREEN,1,7.0,11.5,26.4,YELLOW,25,C
34,GREEN,0,2.8,3.9,38,GREEN,2,0.6,20.6,34,GREEN,2,4.8,17.5,57.6,GREEN,41,A
88,RED,1,2.4,16.9,53,GREEN,3,6.4,31.3,22,GREEN,3,6.0,26.9,34.8,GREEN,20,A
52,GREEN,1,1.1,12.0,54,GREEN,0,4.9,7.2,28,GREEN,3,6.8,27.5,46.4,GREEN,61,B
33,GREEN,0,3.3,4.8,69,YELLOW,1,9.8,14.9,32,GREEN,2,5.1,19.6,46.4,GREEN,26,A
43,GREEN,1,5.3,12.1,22,GREEN,0,2.9,2.3,62,YELLOW,3,4.2,28.8,49.2,GREEN,59,B
65,YELLOW,2,6.4,21.4,84,YELLOW,2,8.2,24.9,69,YELLOW,0,9.5,8.7,12.8,RED,43,C
39,GREEN,2,9.0,20.5,31,GREEN,3,5.4,27.8,49,GREEN,3,2.8,27.5,52.4,GREEN,54,A
62,YELLOW,3,5.7,29.0,37,GREEN,1,8.7,10.9,87,RED,1,4.6,18.3,25.6,YELLOW,33,B
92,RED,1,3.5,17.4,35,GREEN,1,3.5,13.0,23,GREEN,2,8.9,18.0,40.0,GREEN,67,C
58,GREEN,3,7.6,31.1,55,GREEN,1,7.9,11.9,43,GREEN,0,7.7,4.7,37.6,GREEN,49,C
92,RED,1,6.2,16.1,23,GREEN,2,1.3,19.4,37,GREEN,3,7.3,27.2,39.2,GREEN,64,B
82,YELLOW,3,1.8,31.0,24,GREEN,3,7.8,24.5,54,GREEN,3,2.6,30.1,36.0,GREEN,40,AVOID
46,GREEN,0,2.2,6.4,76,YELLOW,3,7.0,33.1,51,GREEN,3,4.3,27.3,30.8,GREEN,63,A
60,GREEN,3,6.3,31.0,88,RED,0,5.4,8.6,25,GREEN,1,5.4,10.1,30.8,GREEN,20,B
91,RED,3,5.4,33.6,26,GREEN,1,3.3,10.2,58,GREEN,2,4.9,21.5,30.0,YELLOW,21,B
86,RED,1,4.9,17.2,31,GREEN,0,2.2,3.4,89,RED,1,4.2,16.2,17.6,YELLOW,18,B
42,GREEN,3,6.1,29.1,45,GREEN,3,1.4,27.8,40,GREEN,0,1.4,4.8,49.2,GREEN,61,C
30,GREEN,3,7.4,28.9,40,GREEN,3,5.7,26.2,41,GREEN,2,5.9,20.7,55.6,GREEN,34,C
40,GREEN,1,2.2,12.8,73,YELLOW,2,3.4,24.4,77,YELLOW,2,6.5,22.2,24.0,YELLOW,31,A
45,GREEN,0,6.4,3.5,78,YELLOW,3,8.6,32.0,20,GREEN,3,2.8,26.4,42.8,GREEN,75,A
78,YELLOW,3,4.7,32.2,20,GREEN,1,8.9,9.1,91,RED,1,1.0,15.7,24.4,YELLOW,59,B
24,GREEN,1,8.6,11.1,58,GREEN,2,9.2,20.0,73,YELLOW,1,2.0,14.4,38.0,GREEN,37,A
78,YELLOW,2,9.3,22.2,58,GREEN,2,4.0,21.3,28,GREEN,3,8.5,25.1,34.4,GREEN,75,B
37,GREEN,0,7.1,2.8,87,RED,3,5.5,33.5,27,GREEN,0,5.9,4.6,39.6,GREEN,26,C
81,YELLOW,2,4.6,25.5,53,GREEN,2,9.3,21.8,83,YELLOW,3,5.2,31.0,13.2,RED,44,B
57,GREEN,1,0.5,11.8,35,GREEN,1,8.1,13.5,72,YELLOW,0,3.7,7.4,34.4,GREEN,42,C
21,GREEN,1,7.1,9.1,28,GREEN,2,3.4,19.0,20,GREEN,0,7.0,1.4,72.4,GREEN,18,C
42,GREEN,1,3.6,11.6,81,YELLOW,3,8.1,32.7,81,YELLOW,1,6.5,17.7,18.4,YELLOW,57,A
77,YELLOW,3,9.3,30.1,83,YELLOW,2,5.9,25.3,88,RED,0,2.5,9.8,0.0,RED,60,AVOID
28,GREEN,1,3.2,8.9,68,YELLOW,1,5.9,14.4,34,GREEN,2,7.2,18.7,48.0,GREEN,19,A
54,GREEN,3,1.3,30.9,67,YELLOW,3,8.4,29.9,87,RED,2,2.2,24.2,16.8,YELLOW,19,C
45,GREEN,0,4.7,2.6,81,YELLOW,1,2.3,17.8,87,RED,2,7.9,23.3,14.8,RED,27,A
86,RED,1,2.4,14.7,69,YELLOW,0,0.5,8.6,31,GREEN,2,4.9,17.3,25.6,YELLOW,54,B
22,GREEN,2,6.6,17.0,45,GREEN,1,3.2,12.6,76,YELLOW,0,3.1,6.2,42.8,GREEN,29,C
21,GREEN,0,2.5,1.5,60,GREEN,2,1.8,22.8,56,GREEN,1,2.1,12.8,45.2,GREEN,58,A
89,RED,3,1.0,31.0,26,GREEN,0,4.1,0.9,70,YELLOW,1,7.2,16.6,26.0,YELLOW,72,B
65,YELLOW,2,3.7,21.3,88,RED,0,9.7,9.8,79,YELLOW,1,1.4,17.1,7.2,RED,74,B
32,GREEN,3,3.4,27.8,79,YELLOW,3,2.7,30.8,53,GREEN,2,4.2,22.1,34.4,GREEN,57,C
61,YELLOW,3,5.1,28.4,34,GREEN,2,5.0,20.8,56,GREEN,2,6.2,20.1,39.6,GREEN,28,B
71,YELLOW,0,3.6,7.7,58,GREEN,3,4.3,29.5,51,GREEN,1,9.8,12.6,28.0,YELLOW,58,A
46,GREEN,3,8.0,28.3,63,YELLOW,1,2.1,15.0,93,RED,3,1.6,33.7,19.2,YELLOW,56,B
91,RED,0,8.3,7.8,71,YELLOW,0,6.2,7.8,68,YELLOW,2,5.2,23.4,8.0,RED,26,B
47,GREEN,1,8.9,14.3,20,GREEN,1,6.8,9.8,57,GREEN,3,6.3,29.5,50.4,GREEN,41,B
60,GREEN,2,5.9,23.7,58,GREEN,3,7.3,31.5,31,GREEN,0,6.3,3.1,40.4,GREEN,31,C
57,GREEN,0,4.0,5.9,26,GREEN,0,7.2,3.9,65,YELLOW,0,8.7,8.0,40.8,GREEN,45,B
75,YELLOW,3,6.4,32.3,71,YELLOW,3,4.6,29.9,42,GREEN,3,1.8,28.4,24.8,YELLOW,61,AVOID
73,YELLOW,1,3.2,16.8,36,GREEN,1,0.6,12.2,38,GREEN,3,6.8,29.7,41.2,GREEN,32,B
30,GREEN,1,6.6,10.7,78,YELLOW,3,6.4,31.6,74,YELLOW,3,4.2,30.3,27.2,YELLOW,69,A
20,GREEN,3,8.5,24.9,84,YELLOW,2,4.4,24.6,66,YELLOW,0,9.8,6.9,32.0,GREEN,62,C
34,GREEN,3,9.6,25.7,87,RED,2,4.9,23.0,31,GREEN,1,5.0,12.1,39.2,GREEN,24,C
86,RED,2,6.3,26.5,85,YELLOW,0,5.0,8.9,77,YELLOW,2,4.5,25.8,0.0,RED,52,AVOID
